,Date,Sunspots,Groups,Wolf
485,1864-04-21,3,1,13
486,1864-04-22,12,3,42
487,1864-04-24,2,1,12
488,1864-04-25,1,1,11
489,1864-05-02,7,1,17
490,1864-05-06,1,1,11
491,1864-05-07,9,1,19
492,1864-05-09,1,1,11
493,1864-05-11,8,1,18
494,1864-05-15,3,1,13
495,1864-05-17,3,1,13
496,1864-05-18,11,1,21
497,1864-05-19,3,1,13
498,1864-05-25,6,2,26
499,1864-06-02,1,1,11
500,1864-06-04,4,1,14
501,1864-06-05,5,2,25
502,1864-06-06,2,1,12
503,1864-06-07,6,1,16
504,1864-06-10,3,1,13
505,1864-06-13,8,2,28
506,1864-06-14,2,1,12
507,1864-06-15,7,1,17
508,1864-06-18,1,1,11
509,1864-06-21,2,1,12
510,1864-07-02,6,1,16
511,1864-07-05,6,1,16
512,1864-07-07,1,1,11
513,1864-07-09,4,1,14
514,1864-07-10,17,1,27
515,1864-07-15,6,1,16
516,1864-07-17,8,2,28
517,1864-07-22,5,1,15
518,1864-07-25,1,1,11
519,1864-07-26,4,1,14
520,1864-07-30,2,1,12
521,1864-08-02,5,1,15
522,1864-08-06,4,2,24
523,1864-08-07,4,1,14
524,1864-08-09,4,1,14
525,1864-08-10,2,1,12
526,1864-08-11,11,1,21
527,1864-08-12,10,1,20
528,1864-08-13,16,1,26
529,1864-08-18,4,1,14
530,1864-08-30,6,1,16
531,1864-09-01,2,1,12
532,1864-09-03,3,1,13
533,1864-09-08,6,1,16
534,1864-09-10,3,1,13
535,1864-09-17,8,1,18
536,1864-09-20,3,1,13
537,1864-09-21,4,1,14
538,1864-09-26,2,1,12
539,1864-09-30,1,1,11
540,1864-10-01,2,1,12
541,1864-10-04,7,1,17
542,1864-10-05,1,1,11
543,1864-10-07,1,1,11
544,1864-10-10,3,1,13
545,1864-10-11,4,1,14
546,1864-10-14,10,1,20
547,1864-10-21,4,1,14
548,1864-10-23,5,1,15
549,1864-10-26,4,1,14
550,1864-10-27,4,1,14
551,1864-11-02,11,2,31
552,1864-11-06,4,1,14
553,1864-11-08,10,2,30
554,1864-11-14,5,1,15
555,1864-11-15,1,1,11
556,1864-11-18,1,1,11
557,1864-11-20,9,1,19
558,1864-11-21,3,1,13
559,1864-11-27,9,1,19
560,1864-11-29,6,1,16
561,1864-12-04,1,1,11
562,1864-12-05,5,3,35
563,1864-12-15,4,1,14
564,1864-12-26,2,1,12
565,1864-12-30,5,1,15
566,1864-12-31,6,1,16
567,1865-01-06,6,1,16
568,1865-01-11,1,1,11
569,1865-01-14,14,1,24
570,1865-01-16,3,1,13
571,1865-01-19,10,1,20
572,1865-01-21,1,1,11
573,1865-01-22,5,1,15
574,1865-01-23,10,2,30
575,1865-01-26,6,2,26
576,1865-01-28,1,1,11
577,1865-02-04,2,1,12
578,1865-02-09,2,1,12
579,1865-02-10,4,2,24
580,1865-02-11,9,1,19
581,1865-02-12,3,1,13
582,1865-02-15,7,1,17
583,1865-02-16,1,1,11
584,1865-02-18,4,1,14
585,1865-02-20,2,1,12
586,1865-02-24,5,1,15
587,1865-02-25,3,1,13
588,1865-02-26,2,1,12
589,1865-03-03,3,1,13
590,1865-03-04,6,1,16
591,1865-03-05,2,1,12
592,1865-03-07,4,1,14
593,1865-03-14,5,1,15
594,1865-03-15,2,2,22
595,1865-03-16,8,1,18
596,1865-03-17,10,2,30
597,1865-03-22,1,1,11
598,1865-03-23,3,1,13
599,1865-03-24,2,1,12
600,1865-03-27,1,1,11
601,1865-03-28,3,1,13
602,1865-03-29,1,1,11
603,1865-03-30,1,1,11
604,1865-03-31,1,1,11
605,1865-04-06,7,2,27
606,1865-04-08,2,1,12
607,1865-04-09,1,1,11
608,1865-04-15,5,2,25
609,1865-04-16,2,1,12
610,1865-04-18,6,1,16
611,1865-04-19,2,1,12
612,1865-04-20,7,1,17
613,1865-04-26,1,1,11
614,1865-04-27,6,2,26
615,1865-04-28,3,1,13
616,1865-05-04,8,2,28
617,1865-05-09,5,1,15
618,1865-05-10,1,1,11
619,1865-05-11,13,2,33
620,1865-05-12,3,1,13
621,1865-05-14,7,1,17
622,1865-05-16,4,1,14
623,1865-05-19,4,1,14
624,1865-05-31,5,2,25
625,1865-06-01,3,1,13
626,1865-06-05,3,1,13
627,1865-06-11,11,1,21
628,1865-06-12,3,2,23
629,1865-06-15,4,1,14
630,1865-06-18,2,1,12
631,1865-06-24,4,1,14
632,1865-06-26,4,1,14
633,1865-06-27,2,1,12
634,1865-06-28,4,2,24
635,1865-07-09,5,1,15
636,1865-07-10,1,1,11
637,1865-07-14,1,1,11
638,1865-07-18,1,1,11
639,1865-07-21,8,1,18
640,1865-07-27,1,1,11
641,1865-07-28,8,1,18
642,1865-07-29,5,1,15
643,1865-07-30,8,3,38
644,1865-08-05,1,1,11
645,1865-08-08,4,1,14
646,1865-08-10,1,1,11
647,1865-08-13,12,1,22
648,1865-08-20,3,1,13
649,1865-08-22,2,1,12
650,1865-08-25,8,1,18
651,1865-09-01,2,1,12
652,1865-09-04,1,1,11
653,1865-09-05,4,1,14
654,1865-09-08,1,1,11
655,1865-09-15,4,1,14
656,1865-09-16,2,1,12
657,1865-09-18,6,1,16
658,1865-09-19,3,1,13
659,1865-09-20,4,1,14
660,1865-09-23,5,1,15
661,1865-09-28,5,1,15
662,1865-09-29,4,1,14
663,1865-10-03,1,1,11
664,1865-10-08,1,1,11
665,1865-10-14,9,1,19
666,1865-10-16,3,1,13
667,1865-10-23,2,1,12
668,1865-10-31,2,1,12
669,1865-11-10,11,1,21
670,1865-11-12,3,2,23
671,1865-11-13,3,1,13
672,1865-11-18,6,1,16
673,1865-11-27,3,1,13
674,1865-11-28,6,1,16
675,1865-12-02,7,1,17
676,1865-12-07,1,1,11
677,1865-12-13,1,1,11
678,1865-12-15,4,1,14
679,1865-12-19,1,1,11
680,1865-12-24,1,1,11
681,1865-12-29,1,1,11
682,1866-01-03,7,2,27
683,1866-01-07,7,1,17
684,1866-01-09,3,2,23
685,1866-01-14,3,1,13
686,1866-01-20,5,1,15
687,1866-01-21,8,1,18
688,1866-01-25,2,1,12
689,1866-01-27,1,1,11
690,1866-01-30,2,1,12
691,1866-01-31,8,1,18
692,1866-02-02,7,2,27
693,1866-02-07,6,1,16
694,1866-02-10,1,1,11
695,1866-02-16,2,1,12
696,1866-02-18,6,1,16
697,1866-02-27,2,1,12
698,1866-02-28,1,1,11
699,1866-03-01,3,1,13
700,1866-03-05,3,1,13
701,1866-03-09,1,1,11
702,1866-03-16,2,1,12
703,1866-03-17,1,1,11
704,1866-03-20,1,1,11
705,1866-03-25,4,1,14
706,1866-03-26,1,1,11
707,1866-03-28,2,1,12
708,1866-04-02,1,1,11
709,1866-04-05,1,1,11
710,1866-04-08,2,1,12
711,1866-04-14,3,1,13
712,1866-04-15,1,1,11
713,1866-04-17,2,1,12
714,1866-04-26,1,1,11
715,1866-04-28,1,1,11
716,1866-05-07,1,1,11
717,1866-05-08,3,2,23
718,1866-05-10,3,1,13
719,1866-05-11,6,1,16
720,1866-05-14,1,1,11
721,1866-05-22,4,1,14
722,1866-05-25,1,1,11
723,1866-06-06,1,1,11
724,1866-06-17,1,1,11
725,1866-06-18,1,1,11
726,1866-06-20,2,1,12
727,1866-06-23,2,1,12
728,1866-07-02,4,1,14
729,1866-07-03,1,1,11
730,1866-07-17,1,1,11
731,1866-08-03,1,1,11
732,1866-08-08,1,1,11
733,1866-08-15,1,1,11
734,1866-08-19,5,1,15
735,1866-08-29,1,1,11
736,1866-09-03,1,1,11
737,1866-09-18,1,1,11
738,1866-09-20,2,1,12
739,1866-09-25,1,1,11
740,1866-10-03,6,1,16
741,1866-10-20,5,1,15
742,1866-10-23,1,1,11
743,1866-10-29,3,1,13
744,1866-11-07,1,1,11
745,1866-11-24,1,1,11
746,1866-11-25,1,1,11
747,1866-11-27,2,1,12
748,1866-12-30,3,1,13
749,1867-01-12,3,1,13
750,1867-01-14,2,1,12
751,1867-02-10,1,1,11
752,1867-03-04,1,1,11
753,1867-03-11,1,1,11
754,1867-03-17,3,1,13
755,1867-03-21,2,1,12
756,1867-03-29,3,1,13
757,1867-04-04,3,1,13
758,1867-04-14,1,1,11
759,1867-04-21,2,1,12
760,1867-04-26,1,1,11
761,1867-05-06,1,1,11
762,1867-05-15,1,1,11
763,1867-05-19,2,1,12
764,1867-05-29,2,1,12
765,1867-05-31,1,1,11
766,1867-06-24,1,1,11
767,1867-06-30,1,1,11
768,1867-07-01,1,1,11
769,1867-07-05,2,1,12
770,1867-07-17,1,1,11
771,1867-08-16,2,1,12
772,1867-08-17,3,1,13
773,1867-08-20,2,1,12
774,1867-08-22,5,1,15
775,1867-09-03,1,1,11
776,1867-09-15,6,1,16
777,1867-09-19,1,1,11
778,1867-09-24,2,1,12
779,1867-09-25,1,1,11
780,1867-09-26,2,1,12
781,1867-09-27,2,1,12
782,1867-10-05,2,1,12
783,1867-10-06,5,1,15
784,1867-10-12,1,1,11
785,1867-10-31,1,1,11
786,1867-11-08,1,1,11
787,1867-11-11,4,1,14
788,1867-11-29,2,1,12
789,1867-11-30,1,1,11
790,1867-12-03,2,1,12
791,1867-12-06,1,1,11
792,1867-12-21,2,1,12
793,1867-12-22,2,1,12
794,1867-12-24,4,1,14
795,1867-12-27,7,2,27
796,1867-12-28,4,1,14
797,1868-01-08,1,1,11
798,1868-01-09,3,2,23
799,1868-01-31,2,1,12
800,1868-02-02,1,1,11
801,1868-02-05,3,1,13
802,1868-02-06,1,1,11
803,1868-02-11,1,1,11
804,1868-02-17,3,1,13
805,1868-02-23,1,1,11
806,1868-02-25,3,1,13
807,1868-02-29,9,2,29
808,1868-03-06,1,1,11
809,1868-03-13,6,2,26
810,1868-03-14,3,2,23
811,1868-03-15,1,1,11
812,1868-03-16,4,1,14
813,1868-03-19,6,1,16
814,1868-03-28,9,1,19
815,1868-03-31,2,1,12
816,1868-04-02,7,1,17
817,1868-04-05,4,1,14
818,1868-04-11,1,1,11
819,1868-04-13,6,1,16
820,1868-04-17,1,1,11
821,1868-04-18,10,2,30
822,1868-04-20,1,1,11
823,1868-04-26,2,1,12
824,1868-04-27,5,1,15
825,1868-04-29,3,1,13
826,1868-05-01,4,2,24
827,1868-05-10,6,1,16
828,1868-05-16,1,1,11
829,1868-05-20,3,1,13
830,1868-05-27,3,1,13
831,1868-05-28,2,1,12
832,1868-05-30,2,1,12
833,1868-05-31,7,3,37
834,1868-06-04,9,1,19
835,1868-06-05,3,1,13
836,1868-06-06,5,1,15
837,1868-06-11,1,1,11
838,1868-06-13,1,1,11
839,1868-06-16,1,1,11
840,1868-06-20,4,1,14
841,1868-06-21,1,1,11
842,1868-06-22,3,1,13
843,1868-06-23,1,1,11
844,1868-06-24,4,1,14
845,1868-06-25,5,2,25
846,1868-06-26,2,1,12
847,1868-06-29,9,2,29
848,1868-07-04,2,1,12
849,1868-07-17,3,1,13
850,1868-07-23,2,1,12
851,1868-07-29,2,1,12
852,1868-08-03,4,1,14
853,1868-08-04,3,1,13
854,1868-08-11,2,1,12
855,1868-08-14,3,1,13
856,1868-08-20,2,1,12
857,1868-08-23,2,1,12
858,1868-08-26,5,1,15
859,1868-08-29,1,1,11
860,1868-08-30,8,2,28
861,1868-09-04,2,1,12
862,1868-09-06,9,1,19
863,1868-09-07,8,1,18
864,1868-09-11,4,2,24
865,1868-09-16,10,2,30
866,1868-09-19,5,1,15
867,1868-09-22,5,2,25
868,1868-09-25,7,1,17
869,1868-10-02,15,2,35
870,1868-10-03,2,1,12
871,1868-10-04,1,1,11
872,1868-10-10,1,1,11
873,1868-10-12,1,1,11
874,1868-10-13,1,1,11
875,1868-10-16,6,1,16
876,1868-10-18,10,1,20
877,1868-10-19,6,1,16
