,Date,Group,Spot,SN
377,1827-08-02,4,14,54
378,1827-08-03,4,11,51
379,1827-08-04,4,12,52
380,1827-08-05,3,8,38
381,1827-08-06,4,6,46
382,1827-08-07,2,3,23
383,1827-08-08,2,3,23
384,1827-08-09,4,5,45
385,1827-08-10,4,6,46
386,1827-08-11,4,4,44
387,1827-08-12,4,4,44
388,1827-08-14,3,3,33
389,1827-08-15,3,3,33
390,1827-08-16,3,4,34
391,1827-08-17,3,3,33
392,1827-08-18,2,2,22
393,1827-08-20,3,5,35
394,1827-08-21,3,6,36
395,1827-08-22,4,6,46
396,1827-08-23,6,9,69
397,1827-08-24,4,13,53
398,1827-08-25,5,15,65
399,1827-08-27,5,15,65
400,1827-08-28,5,10,60
401,1827-08-29,3,5,35
402,1827-08-30,2,2,22
403,1827-08-31,2,3,23
404,1827-09-01,2,4,24
405,1827-09-02,3,5,35
406,1827-09-03,3,5,35
407,1827-09-04,4,8,48
408,1827-09-05,4,10,50
409,1827-09-06,5,23,73
410,1827-09-07,5,9,59
411,1827-09-08,5,10,60
412,1827-09-09,5,15,65
413,1827-09-11,4,11,51
414,1827-09-12,3,8,38
415,1827-09-13,2,3,23
416,1827-09-14,3,4,34
417,1827-09-15,2,4,24
418,1827-09-16,3,8,38
419,1827-09-17,4,13,53
420,1827-09-18,3,8,38
421,1827-09-19,2,4,24
422,1827-09-20,2,4,24
423,1827-09-21,2,3,23
424,1827-09-22,4,9,49
425,1827-09-23,4,7,47
426,1827-09-24,3,5,35
427,1827-09-25,3,4,34
428,1827-09-26,3,8,38
429,1827-09-27,1,8,18
430,1827-09-28,2,11,31
431,1827-09-29,3,5,35
432,1827-09-30,3,7,37
433,1827-10-01,3,8,38
434,1827-10-02,4,20,60
435,1827-10-03,4,8,48
436,1827-10-04,4,11,51
437,1827-10-05,4,12,52
438,1827-10-06,5,9,59
439,1827-10-07,6,18,78
440,1827-10-08,6,12,72
441,1827-10-09,7,13,83
442,1827-10-10,5,7,57
443,1827-10-12,3,6,36
444,1827-10-14,4,5,45
445,1827-10-15,3,6,36
446,1827-10-16,3,5,35
447,1827-10-17,3,6,36
448,1827-10-18,4,4,44
449,1827-10-19,3,7,37
450,1827-10-20,3,4,34
451,1827-10-21,3,6,36
452,1827-10-23,2,3,23
453,1827-10-28,1,5,15
454,1827-10-29,2,6,26
455,1827-10-30,2,5,25
456,1827-10-31,4,8,48
457,1827-11-03,4,5,45
458,1827-11-04,5,7,57
459,1827-11-05,5,15,65
460,1827-11-07,5,9,59
461,1827-11-08,6,13,73
462,1827-11-13,2,6,26
463,1827-11-16,2,5,25
464,1827-11-17,1,2,12
465,1827-11-18,2,10,30
466,1827-11-19,2,5,25
467,1827-11-21,2,4,24
468,1827-11-23,1,3,13
469,1827-11-24,1,3,13
470,1827-11-25,2,3,23
471,1827-11-29,4,6,46
472,1827-11-30,3,5,35
473,1827-12-03,3,3,33
474,1827-12-04,3,3,33
475,1827-12-06,4,9,49
476,1827-12-07,4,6,46
477,1827-12-08,2,2,22
478,1827-12-09,2,2,22
479,1827-12-11,3,5,35
480,1827-12-12,5,8,58
481,1827-12-13,4,7,47
482,1827-12-14,4,6,46
483,1827-12-15,2,2,22
484,1827-12-16,2,2,22
485,1827-12-17,3,6,36
486,1827-12-18,3,7,37
487,1827-12-20,1,5,15
488,1827-12-21,1,8,18
489,1827-12-24,2,10,30
490,1827-12-25,2,6,26
491,1827-12-27,3,4,34
492,1827-12-28,4,7,47
493,1827-12-29,3,3,33
494,1828-01-01,4,5,45
495,1828-01-02,3,5,35
496,1828-01-06,1,1,11
497,1828-01-07,2,2,22
498,1828-01-09,3,3,33
499,1828-01-12,2,6,26
500,1828-01-16,4,6,46
501,1828-01-17,5,7,57
502,1828-01-18,7,10,80
503,1828-01-21,7,12,82
504,1828-01-22,6,7,67
505,1828-01-23,6,9,69
506,1828-01-24,5,8,58
507,1828-01-27,3,4,34
508,1828-01-28,3,3,33
509,1828-02-01,3,5,35
510,1828-02-02,5,10,60
511,1828-02-04,6,8,68
512,1828-02-09,4,11,51
513,1828-02-10,4,8,48
514,1828-02-11,4,6,46
515,1828-02-12,5,7,57
516,1828-02-14,5,7,57
517,1828-02-15,5,8,58
518,1828-02-16,5,18,68
519,1828-02-18,5,15,65
520,1828-02-19,4,13,53
521,1828-02-20,4,7,47
522,1828-02-21,3,7,37
523,1828-02-22,5,11,61
524,1828-02-24,5,12,62
525,1828-02-25,5,7,57
526,1828-02-26,5,5,55
527,1828-02-27,3,4,34
528,1828-03-01,1,2,12
529,1828-03-03,3,4,34
530,1828-03-04,3,8,38
531,1828-03-05,4,8,48
532,1828-03-07,4,10,50
533,1828-03-08,5,7,57
534,1828-03-11,7,14,84
535,1828-03-12,7,17,87
536,1828-03-14,8,20,100
537,1828-03-15,7,17,87
538,1828-03-16,4,16,56
539,1828-03-19,4,11,51
540,1828-03-20,4,8,48
541,1828-03-21,4,11,51
542,1828-03-22,3,11,41
543,1828-03-23,3,8,38
544,1828-03-24,5,6,56
545,1828-03-25,5,6,56
546,1828-03-27,4,9,49
547,1828-03-28,4,4,44
548,1828-03-29,4,5,45
549,1828-03-30,3,5,35
550,1828-04-01,2,3,23
551,1828-04-02,3,4,34
552,1828-04-04,1,1,11
553,1828-04-07,2,4,24
554,1828-04-09,4,4,44
555,1828-04-10,2,4,24
556,1828-04-11,3,4,34
557,1828-04-12,4,5,45
558,1828-04-13,3,5,35
559,1828-04-14,3,4,34
560,1828-04-15,6,10,70
561,1828-04-16,5,8,58
562,1828-04-18,3,12,42
563,1828-04-19,4,9,49
564,1828-04-20,5,8,58
565,1828-04-21,7,13,83
566,1828-04-22,6,15,75
567,1828-04-23,6,14,74
568,1828-04-25,7,20,90
569,1828-04-26,6,18,78
570,1828-04-27,5,8,58
571,1828-04-28,5,10,60
572,1828-04-29,6,11,71
573,1828-04-30,5,13,63
574,1828-05-02,4,8,48
575,1828-05-03,4,6,46
576,1828-05-04,5,13,63
577,1828-05-05,7,16,86
578,1828-05-08,4,13,53
579,1828-05-09,5,13,63
580,1828-05-10,5,12,62
581,1828-05-11,6,17,77
582,1828-05-12,6,16,76
583,1828-05-13,8,17,97
584,1828-05-14,5,8,58
585,1828-05-15,3,3,33
586,1828-05-16,3,3,33
587,1828-05-17,4,4,44
588,1828-05-18,4,7,47
589,1828-05-20,6,11,71
590,1828-05-21,6,8,68
591,1828-05-22,5,5,55
592,1828-05-23,7,10,80
593,1828-05-24,7,14,84
594,1828-05-26,7,18,88
595,1828-05-27,9,21,111
596,1828-05-29,7,16,86
597,1828-05-30,5,15,65
598,1828-05-31,6,13,73
599,1828-06-01,5,14,64
600,1828-06-02,4,9,49
601,1828-06-04,2,3,23
602,1828-06-06,3,5,35
603,1828-06-07,3,4,34
604,1828-06-08,5,10,60
605,1828-06-09,6,14,74
606,1828-06-10,5,10,60
607,1828-06-11,3,6,36
608,1828-06-13,3,8,38
609,1828-06-14,6,14,74
610,1828-06-15,6,8,68
611,1828-06-16,6,10,70
612,1828-06-17,4,8,48
613,1828-06-18,4,7,47
614,1828-06-19,10,12,112
615,1828-06-20,11,20,130
616,1828-06-21,11,13,123
617,1828-06-22,11,19,129
618,1828-06-24,9,16,106
619,1828-06-25,11,16,126
620,1828-06-26,8,16,96
621,1828-06-27,8,17,97
622,1828-06-28,7,16,86
623,1828-06-29,4,7,47
624,1828-06-30,4,7,47
625,1828-07-01,5,10,60
626,1828-07-02,5,7,57
627,1828-07-03,3,5,35
628,1828-07-04,3,5,35
629,1828-07-05,2,4,24
630,1828-07-06,2,9,29
631,1828-07-08,1,5,15
632,1828-07-09,1,5,15
633,1828-07-10,1,4,14
634,1828-07-11,3,4,34
635,1828-07-12,3,4,34
636,1828-07-13,3,4,34
637,1828-07-14,3,4,34
638,1828-07-15,4,5,45
639,1828-07-16,6,7,67
640,1828-07-17,5,6,56
641,1828-07-18,5,11,61
642,1828-07-20,7,9,79
643,1828-07-21,7,9,79
644,1828-07-22,9,10,100
645,1828-07-23,5,6,56
646,1828-07-25,3,3,33
647,1828-07-26,3,3,33
648,1828-07-27,2,2,22
649,1828-07-28,3,5,35
650,1828-07-29,1,3,13
651,1828-07-30,2,5,25
652,1828-08-01,2,3,23
653,1828-08-02,3,6,36
654,1828-08-03,5,11,61
655,1828-08-04,5,8,58
656,1828-08-05,3,8,38
657,1828-08-06,3,7,37
658,1828-08-07,4,7,47
659,1828-08-08,6,12,72
660,1828-08-09,6,21,81
661,1828-08-10,6,15,75
662,1828-08-11,5,14,64
663,1828-08-12,5,13,63
664,1828-08-13,5,18,68
665,1828-08-15,5,13,63
666,1828-08-17,7,16,86
667,1828-08-18,7,12,82
668,1828-08-19,7,18,88
669,1828-08-20,7,15,85
670,1828-08-21,7,13,83
671,1828-08-23,4,9,49
672,1828-08-24,4,7,47
673,1828-08-25,6,11,71
674,1828-08-26,4,10,50
675,1828-08-27,6,9,69
676,1828-08-29,3,5,35
677,1828-08-30,4,7,47
678,1828-08-31,3,6,36
679,1828-09-01,3,6,36
680,1828-09-02,3,7,37
681,1828-09-03,4,9,49
682,1828-09-04,5,11,61
683,1828-09-05,4,7,47
684,1828-09-06,5,9,59
685,1828-09-07,4,6,46
686,1828-09-08,5,8,58
687,1828-09-09,5,8,58
688,1828-09-10,5,11,61
689,1828-09-11,5,8,58
690,1828-09-12,4,8,48
691,1828-09-13,3,7,37
692,1828-09-14,3,7,37
693,1828-09-16,2,8,28
694,1828-09-17,2,5,25
695,1828-09-18,1,3,13
696,1828-09-19,1,3,13
697,1828-09-20,2,3,23
698,1828-09-21,1,1,11
699,1828-09-22,2,5,25
700,1828-09-23,5,9,59
701,1828-09-25,3,4,34
702,1828-09-26,3,5,35
703,1828-09-27,3,6,36
704,1828-09-28,3,6,36
705,1828-09-30,2,2,22
706,1828-10-02,2,3,23
707,1828-10-03,1,1,11
708,1828-10-04,2,2,22
709,1828-10-05,1,1,11
710,1828-10-06,3,4,34
711,1828-10-07,3,4,34
712,1828-10-08,2,2,22
713,1828-10-09,1,3,13
714,1828-10-10,1,2,12
715,1828-10-11,4,10,50
716,1828-10-12,2,3,23
717,1828-10-14,4,8,48
718,1828-10-15,4,6,46
719,1828-10-16,4,7,47
720,1828-10-18,3,7,37
721,1828-10-19,4,11,51
722,1828-10-20,6,14,74
723,1828-10-21,4,11,51
724,1828-10-22,4,12,52
725,1828-10-23,6,13,73
726,1828-10-27,6,13,73
727,1828-10-28,6,8,68
728,1828-10-29,7,12,82
729,1828-10-31,4,7,47
730,1828-11-01,6,9,69
731,1828-11-04,4,7,47
732,1828-11-05,4,9,49
733,1828-11-06,4,6,46
734,1828-11-07,4,9,49
735,1828-11-10,5,11,61
736,1828-11-12,3,9,39
737,1828-11-14,3,7,37
738,1828-11-15,3,11,41
739,1828-11-16,2,5,25
740,1828-11-17,3,10,40
741,1828-11-18,2,6,26
742,1828-11-20,6,11,71
743,1828-11-22,7,12,82
744,1828-11-24,4,7,47
745,1828-11-25,4,5,45
746,1828-11-26,3,5,35
747,1828-11-27,2,2,22
748,1828-11-28,3,4,34
749,1828-12-02,1,4,14
750,1828-12-06,1,1,11
751,1828-12-07,1,1,11
752,1828-12-09,4,5,45
753,1828-12-10,4,10,50
754,1828-12-11,4,5,45
755,1828-12-12,2,2,22
756,1828-12-13,2,3,23
757,1828-12-15,3,3,33
758,1828-12-16,5,7,57
759,1828-12-19,5,11,61
760,1828-12-20,4,7,47
761,1828-12-26,3,13,43
762,1828-12-30,4,8,48
763,1829-01-02,4,8,48
764,1829-01-05,3,5,35
765,1829-01-09,3,6,36
766,1829-01-11,3,4,34
767,1829-01-14,3,5,35
768,1829-01-15,2,5,25
769,1829-01-20,2,8,28
770,1829-01-21,2,6,26
771,1829-01-22,2,6,26
772,1829-01-23,2,5,25
773,1829-01-26,3,5,35
774,1829-01-28,4,6,46
